date,st_index,prc_trump
05/09/2016,0.540630641,0.497134218
06/09/2016,0.527553088,0.488823758
07/09/2016,0.528647215,0.483314338
08/09/2016,0.564604451,0.487343628
09/09/2016,0.593190681,0.496133595
10/09/2016,0.631707601,0.491512833
11/09/2016,0.582097124,0.488905545
12/09/2016,0.584349452,0.480197116
13/09/2016,0.565553754,0.496304901
14/09/2016,0.553681949,0.496746568
15/09/2016,0.524916107,0.501221071
16/09/2016,0.541265896,0.496360152
17/09/2016,0.506803911,0.508147497
18/09/2016,0.492393068,0.483619807
19/09/2016,0.490267455,0.494471352
20/09/2016,0.560322336,0.494179479
21/09/2016,0.574555645,0.504513552
22/09/2016,0.542055497,0.489970067
23/09/2016,0.485724907,0.492676035
24/09/2016,0.507232447,0.501735318
25/09/2016,0.55206539,0.476800795
26/09/2016,0.570889572,0.489649899
27/09/2016,0.577417971,0.48523096
28/09/2016,0.57187543,0.496481852
29/09/2016,0.518106131,0.494527675
30/09/2016,0.557948736,0.493532467
01/10/2016,0.648700306,0.495704763
02/10/2016,0.590166103,0.471014946
03/10/2016,0.610749335,0.475307414
04/10/2016,0.573011505,0.494308701
05/10/2016,0.510427649,0.491880193
06/10/2016,0.547850474,0.48421066
07/10/2016,0.561027909,0.48220819
08/10/2016,0.652798684,0.474759983
09/10/2016,0.644919766,0.470365872
10/10/2016,0.586220227,0.470581794
11/10/2016,0.576950992,0.472777794
12/10/2016,0.634458673,0.478591784
13/10/2016,0.578676235,0.474001465
14/10/2016,0.560805911,0.469141091
15/10/2016,0.611059961,0.47786978
16/10/2016,0.654664456,0.469181689
17/10/2016,0.636942142,0.474860764
18/10/2016,0.658547137,0.479850634
19/10/2016,0.647919628,0.471437909
20/10/2016,0.644791487,0.479222404
21/10/2016,0.588487226,0.481343173
22/10/2016,0.631386042,0.482081082
23/10/2016,0.640186289,0.474989425
24/10/2016,0.643979533,0.468236147
25/10/2016,0.591623625,0.483241074
26/10/2016,0.600015037,0.484314202
27/10/2016,0.601666351,0.492608358
28/10/2016,0.650687067,0.492405405
29/10/2016,0.596312224,0.495902107
30/10/2016,0.621472801,0.473382864
31/10/2016,0.600411241,0.48848781
01/11/2016,0.648247609,0.488149247
02/11/2016,0.63106706,0.492890486
03/11/2016,0.652877945,0.491767064
04/11/2016,0.52935897,0.489727324
05/11/2016,0.581999231,0.491383426
06/11/2016,0.611381143,0.473643017
07/11/2016,0.562764591,0.486053173
