date,twitter_index,prc_trump
15/10/2016,0.524193548,0.47786978
16/10/2016,0.469767442,0.469181689
17/10/2016,0.480263158,0.474860764
18/10/2016,0.49197861,0.479850634
19/10/2016,0.468164794,0.471437909
20/10/2016,0.507853403,0.479222404
21/10/2016,0.488,0.481343173
22/10/2016,0.492890995,0.482081082
23/10/2016,0.5,0.474989425
24/10/2016,0.453815261,0.468236147
25/10/2016,0.481343284,0.483241074
26/10/2016,0.437007874,0.484314202
27/10/2016,0.455882353,0.492608358
28/10/2016,0.445054945,0.492405405
29/10/2016,0.474025974,0.495902107
30/10/2016,0.561290323,0.473382864
31/10/2016,0.421319797,0.48848781
01/11/2016,0.496732026,0.488149247
02/11/2016,0.457489879,0.492890486
03/11/2016,0.490272374,0.491767064
04/11/2016,0.509345794,0.489727324
05/11/2016,0.488095238,0.491383426
06/11/2016,0.539906103,0.473643017
07/11/2016,0.465393795,0.486053173
